pid,A,Y,X
0,0.0,0.2096,0.1047
1,0.0,-2.0291,-0.8065
2,1.0,2.1294,0.892
3,0.0,-1.4716,-0.9286
4,1.0,1.4995,-1.1357
5,1.0,0.6871,0.5135
6,1.0,3.0679,1.3191
7,1.0,3.5464,1.2758
8,1.0,3.0542,1.3556
9,0.0,-1.6025,0.403
10,1.0,0.6348,-0.349
11,1.0,2.3374,0.5779
12,0.0,-0.5295,0.5794
13,1.0,1.9184,0.0661
14,1.0,-0.0326,-0.6986
15,0.0,-0.5893,-0.1776
16,1.0,2.3427,0.2655
17,0.0,-3.1572,-1.1554
18,0.0,-1.4868,-0.3637
19,1.0,0.3377,-1.217
20,1.0,7.029,1.7757
21,1.0,3.4831,0.7107
22,0.0,-0.8612,-0.1407
23,0.0,-0.0016,0.9528
24,0.0,-0.9674,0.1756
25,0.0,-1.6382,-0.5476
26,1.0,1.3325,0.0288
27,0.0,-1.7314,-0.1314
28,1.0,14.5855,3.6417
29,1.0,0.7185,-0.9858
30,0.0,1.7098,-2.7848
31,1.0,2.9757,0.7665
32,0.0,-0.2546,-1.3263
33,0.0,-1.1438,-1.399
34,0.0,3.0825,1.3565
35,0.0,-1.172,-0.8927
36,0.0,0.0069,-1.3231
37,1.0,1.0987,0.0184
38,0.0,-3.0468,-1.2654
39,0.0,-0.2666,0.7417
40,0.0,-2.0094,-0.7936
41,0.0,-1.5761,0.094
42,1.0,4.9691,1.5063
43,1.0,6.9702,2.0202
44,0.0,-0.1092,-2.2684
45,0.0,-0.7913,-0.5006
46,1.0,0.6287,-0.4063
47,1.0,2.1464,0.8529
48,0.0,-0.2999,-0.439
49,0.0,-0.4911,-0.9313
50,1.0,5.9179,1.5131
51,1.0,3.9637,1.3408
52,1.0,0.6175,0.1319
53,0.0,-0.4796,-2.1365
54,1.0,1.0462,-0.1416
55,0.0,0.855,-1.4062
56,1.0,8.1567,2.0727
57,0.0,0.8271,0.5135
58,0.0,-1.2443,0.377
59,1.0,1.4566,0.898
60,1.0,3.9263,0.7343
61,0.0,-0.9905,-1.2341
62,1.0,1.4744,0.6346
63,1.0,1.5272,0.3554
64,0.0,0.8433,-2.6101
65,0.0,2.0192,1.2088
66,0.0,0.9025,0.4472
67,0.0,-1.7567,-0.0946
68,1.0,0.7663,0.5522
69,0.0,-1.8202,-0.8404
70,0.0,1.549,1.0842
71,1.0,0.8018,-0.3856
72,0.0,-1.0733,-1.2932
73,1.0,5.7157,2.119
74,1.0,2.5135,0.8554
75,0.0,-2.7608,0.0891
76,1.0,2.5485,0.3009
77,1.0,2.7412,0.5627
78,0.0,4.3616,1.5381
79,1.0,3.2796,0.7753
80,0.0,2.9828,1.438
81,0.0,-1.4275,-0.6564
82,0.0,-2.1453,-0.7444
83,1.0,0.4718,0.2544
84,1.0,2.0015,0.4786
85,1.0,-0.0794,-0.0288
86,0.0,-1.9696,-0.8431
87,1.0,1.385,-0.2961
88,1.0,3.2916,0.9279
89,1.0,4.365,0.8591
90,0.0,-1.2888,-1.1776
91,1.0,3.3166,0.862
92,0.0,0.0244,0.4984
93,0.0,1.5269,0.4004
94,1.0,1.1082,0.9739
95,0.0,1.0326,0.3125
96,1.0,6.1841,1.8075
97,0.0,-0.0055,-0.4917
98,0.0,-1.6568,-0.9381
99,1.0,2.394,0.3162
100,1.0,2.3243,0.4985
101,0.0,-0.7622,-1.063
102,0.0,-0.7267,0.5289
103,1.0,1.8226,0.3239
104,0.0,-1.377,-1.133
105,1.0,1.1039,-0.2904
106,1.0,4.6121,1.1364
107,0.0,2.3233,1.0072
108,0.0,-1.003,-1.0946
109,1.0,2.5475,0.81
110,0.0,-2.9945,0.0821
111,1.0,8.788,2.1987
112,1.0,0.4157,-0.184
113,1.0,1.6511,0.6642
114,0.0,-2.3441,-1.581
115,1.0,2.2126,1.1641
116,0.0,-0.9095,-0.0159
117,1.0,0.2933,-0.5484
118,1.0,1.0787,-0.4996
119,0.0,0.7963,-0.1434
120,1.0,1.591,-0.5733
121,0.0,0.5406,0.6214
122,0.0,-2.4655,-0.4838
123,1.0,0.0721,-0.2837
124,1.0,12.1657,3.0222
125,1.0,0.1892,-0.0451
126,1.0,3.2008,0.5116
127,1.0,1.4737,0.3108
128,0.0,0.2975,-0.0561
129,1.0,2.3248,0.1421
130,0.0,-1.2396,-1.3478
131,1.0,0.73,0.7503
132,1.0,2.7278,0.2481
133,1.0,2.2305,0.1531
134,0.0,-2.5407,-1.1416
135,1.0,2.8397,0.9608
136,0.0,-0.946,-1.4084
137,0.0,-0.5746,-0.0907
138,1.0,0.754,-0.7007
139,0.0,-0.5919,-1.4378
140,1.0,5.4643,1.5623
141,1.0,2.6358,1.4338
142,1.0,2.8737,1.287
143,0.0,-0.4122,-0.0061
144,0.0,-2.749,-0.8896
145,1.0,2.0649,0.1835
146,1.0,1.082,-0.1414
147,0.0,1.5683,-1.8243
148,0.0,2.6887,1.2042
149,1.0,4.2441,0.8367
150,0.0,-2.1955,-0.6326
151,1.0,1.3026,-1.0399
152,0.0,-2.3401,-0.0758
153,0.0,-0.4234,0.2108
154,1.0,3.9866,2.1964
155,1.0,0.1675,0.4143
156,0.0,-1.6785,-1.0331
157,1.0,2.7845,0.6606
158,0.0,-0.2722,-1.2316
